"gedrag_1_W2","gedrag_2_W2","gedrag_3_W2","gedrag_4_W2","gedrag_5_W2","gedrag_6_W2","gedrag_7_W2","gedrag_8_W2","gedrag_9_W2","gedrag_10_W2","gedrag_11_W2","susceptibility_1_W2","susceptibility_2_W2","susceptibility_3_W2","susceptibility_4_W2","susceptibility_5_W2","susceptibility_6_W2","severity_1_W2","severity_2_W2","severity_3_W2","severity_4_W2","severity_5_W2","severity_6_W2","severity_other_1_W2","severity_other_2_W2","severity_other_3_W2","severity_other_4_W2","severity_other_5_W2","severity_other_6_W2","severity_other_7_W2","selfefficacy_1_W2","selfefficacy_2_W2","selfefficacy_3_W2","response_eff_1_W2","response_eff_2_W2","response_eff_3_W2","response_eff_4_W2","response_eff_5_W2","response_eff_6_W2","response_eff_7_W2","privacy_concerns_1_W2","privacy_concerns_2_W2","privacy_concerns_3_W2","privacy_concerns_4_W2","privacy_concerns_5_W2","costsresponse_1_W2","costsresponse_2_W2","costsresponse_3_W2","attention_check_W2","attpersonalisatie_1_W2","attpersonalisatie_2_W2","attpersonalisatie_3_W2","attpersonalisatie_4_W2","attpersonalisatie_5_W2","privfatigue_1_W2","privfatigue_2_W2","privfatigue_3_W2","privfatigue_4_W2","privfatigue_5_W2","privfatigue_6_W2","privfatigue_7_W2","age_W2","gndr_W2","edu_W2","conditie_W2","ernst_W2","fatigue_W2","training_W2","ernstcheck_W2","gedrag_1_W1","gedrag_2_W1","gedrag_3_W1","gedrag_4_W1","gedrag_5_W1","gedrag_6_W1","gedrag_7_W1","gedrag_8_W1","gedrag_9_W1","gedrag_10_W1","gedrag_11_W1","intentie_1_W1","intentie_2_W1","intentie_3_W1","intentie_4_W1","intentie_5_W1","intentie_6_W1","intentie_7_W1","intentie_8_W1","intentie_9_W1","intentie_10_W1","intentie_11_W1","attention_check_W1","knowledge_1_W1","knowledge_2_W1","knowledge_3_W1","knowledge_4_W1","knowledge_5_W1","knowledge_6_W1","knowledge_DO_1_W1","knowledge_DO_2_W1","knowledge_DO_3_W1","knowledge_DO_4_W1","knowledge_DO_5_W1","knowledge_DO_6_W1","susceptibility_1_W1","susceptibility_2_W1","susceptibility_3_W1","severity_1_W1","severity_2_W1","severity_3_W1","severity_other_1_W1","severity_other_2_W1","severity_other_3_W1","selfefficacy_1_W1","selfefficacy_2_W1","selfefficacy_3_W1","selfefficacy_4_W1","response_eff_1_W1","response_eff_2_W1","response_eff_3_W1","response_eff_4_W1","response_eff_5_W1","response_eff_6_W1","response_eff_7_W1","privacy_concerns_1_W1","privacy_concerns_2_W1","privacy_concerns_3_W1","privacy_concerns_4_W1","privacy_concerns_5_W1","privacy_concerns_DO_1_W1","privacy_concerns_DO_2_W1","privacy_concerns_DO_3_W1","privacy_concerns_DO_4_W1","privacy_concerns_DO_5_W1","costsresponse_1_W1","costsresponse_2_W1","costsresponse_3_W1","attpersonalisatie_1_W1","attpersonalisatie_2_W1","attpersonalisatie_3_W1","attpersonalisatie_4_W1","attpersonalisatie_5_W1","privfatigue_1_W1","privfatigue_2_W1","privfatigue_3_W1","privfatigue_4_W1","privfatigue_5_W1","privfatigue_6_W1","privfatigue_7_W1","privfatigue_DO_1_W1","privfatigue_DO_2_W1","privfatigue_DO_3_W1","privfatigue_DO_4_W1","privfatigue_DO_5_W1","privfatigue_DO_6_W1","privfatigue_DO_7_W1","digitallit_1_W1","digitallit_2_W1","digitallit_3_W1","digitallit_4_W1","digitallit_5_W1","digitallit_6_W1","digitallit_7_W1","digitallit_8_W1","stratreacties_1_W1","stratreacties_2_W1","stratreacties_3_W1","stratreacties_4_W1","stratreacties_5_W1","stratreacties_6_W1","new_W1","notnew_W1","deelsnew_W1","age_W1","gndr_W1","edu_W1","conditie_W1","selfeff_W1","severity_W1","privfat_W1","suscep_W1","responseeff_W1","sev_oth_W1","privbeh_W1","privintent_W1","know1_W1","know3_W1","know5_W1","know6_W1","know2_W1","know4_W1","OBAknow_W1","privcon_W1","cost_W1","attpers5_W1","attpers_W1","diglit_W1","gedrag_1_W3","gedrag_2_W3","gedrag_3_W3","gedrag_4_W3","gedrag_5_W3","gedrag_6_W3","gedrag_7_W3","gedrag_8_W3","gedrag_9_W3","gedrag_10_W3","gedrag_11_W3","susceptibility_1_W3","susceptibility_2_W3","susceptibility_3_W3","susceptibility_4_W3","susceptibility_5_W3","susceptibility_6_W3","severity_1_W3","severity_2_W3","severity_3_W3","severity_4_W3","severity_5_W3","severity_6_W3","severity_other_1_W3","severity_other_2_W3","severity_other_3_W3","severity_other_4_W3","severity_other_5_W3","severity_other_6_W3","severity_other_7_W3","selfefficacy_1_W3","selfefficacy_2_W3","selfefficacy_3_W3","response_eff_1_W3","response_eff_2_W3","response_eff_3_W3","response_eff_4_W3","response_eff_5_W3","response_eff_6_W3","response_eff_7_W3","privacy_concerns_1_W3","privacy_concerns_2_W3","privacy_concerns_3_W3","privacy_concerns_4_W3","privacy_concerns_5_W3","costsresponse_1_W3","costsresponse_2_W3","costsresponse_3_W3","attention_check_W3","attpersonalisatie_1_W3","attpersonalisatie_2_W3","attpersonalisatie_3_W3","attpersonalisatie_4_W3","attpersonalisatie_5_W3","privfatigue_1_W3","privfatigue_2_W3","privfatigue_3_W3","privfatigue_4_W3","privfatigue_5_W3","privfatigue_6_W3","privfatigue_7_W3","age_W3","gndr_W3","edu_W3","selfefficacy_1_W2r","selfefficacy_2_W2r","selfefficacy_3_W2r","selfefficacy_1_W3r","selfefficacy_2_W3r","selfefficacy_3_W3r","selfeff_W2","selfeff_W3","severity_W2","severity_W3","privfatigue_1_W2r","privfatigue_2_W2r","privfatigue_3_W2r","privfatigue_4_W2r","privfatigue_5_W2r","privfatigue_6_W2r","privfatigue_7_W2r","privfatigue_1_W3r","privfatigue_2_W3r","privfatigue_3_W3r","privfatigue_4_W3r","privfatigue_5_W3r","privfatigue_6_W3r","privfatigue_7_W3r","privfat_W2","privfat_W3","susc_W1","susc_W2","susc_W3","responseeff_f1_W1","responseeff_f2_W1","responseeff_f3_W1","responseeff_f1_W2","responseeff_f2_W2","responseeff_f3_W2","responseeff_f1_W3","responseeff_f2_W3","responseeff_f3_W3","response_eff_1_W2r","response_eff_2_W2r","response_eff_3_W2r","response_eff_4_W2r","response_eff_5_W2r","response_eff_6_W2r","response_eff_7_W2r","response_eff_1_W3r","response_eff_2_W3r","response_eff_3_W3r","response_eff_4_W3r","response_eff_5_W3r","response_eff_6_W3r","response_eff_7_W3r","gndr_W1r","gndr_W2r","gndr_W3r"
5,5,4,6,6,4,3,4,4,1,1,7,7,6,6,1,5,7,7,7,7,7,7,7,7,7,6,7,6,7,12,12,12,11,11,11,11,11,11,11,13,13,13,13,13,1,1,1,3,1,1,11,1,13,1,1,1,1,1,1,1,57,1,8,5,1,1,0,2,6,4,5,4,5,5,1,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,4,1,2,2,1,2,1,3,6,4,1,5,2,7,7,7,7,7,7,6,6,6,6,6,6,12,7,7,7,7,7,7,7,7,5,7,6,6,4,2,5,1,3,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,6,2,5,3,4,7,1,7,7,7,7,7,7,7,6,4,7,7,7,7,7,2,"ik ben vanuit prive en werk bekend met deze issues","",57,1,8,5,6,7,1,7,7,6,3.54545454545455,6,1,1,1,0,1,1,5,6.2,1,1,1,6.875,5,4,4,5,5,4,4,4,4,4,6,7,7,7,6,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,13,12,13,12,12,12,12,12,12,12,13,13,13,13,13,1,1,1,2,1,1,13,1,13,1,1,1,1,1,1,1,57,1,8,6,6,6,7,6,7,6,6.66666666666667,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6.66666666666667,7,7,7,7,6,6,6,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,0,0,0
4,4,2,6,5,1,1,1,1,1,1,6,5,6,6,3,2,4,5,7,4,4,6,6,6,6,2,6,6,6,10,10,10,8,11,8,11,11,9,9,10,10,10,11,11,9,11,11,3,1,1,1,1,12,10,11,9,8,10,1,13,67,1,7,7,1,1,1,2,3,1,4,6,6,1,1,1,1,1,1,1,6,6,6,6,1,2,2,2,2,1,4,1,2,2,2,1,1,4,1,3,5,2,6,7,6,7,7,6,7,7,7,7,3,4,4,12,6,6,7,7,7,7,7,6,6,3,6,7,3,2,1,4,5,1,5,5,1,1,1,4,7,4,4,4,6,6,1,7,2,1,5,7,6,4,3,5,5,4,2,4,2,4,7,7,5,6,7,7,7,3,"cookies verwijderen","zaken die je ton kan voegen om je privacy te beschermen",67,1,7,7,3.66666666666667,6.66666666666667,4.57142857142857,6.66666666666667,6.71428571428571,7,2.36363636363636,3.18181818181818,1,1,0,0,1,0,3,5.6,3.66666666666667,1,1.6,4.125,1,6,3,6,6,1,1,6,1,1,1,7,7,6,6,4,5,5,5.33333333333333,5,5,6,6,6,6,6,6,6,5,5,11,10,10,11,10,12,12,9,10,9,12,11,11,11,11,10,10,10,2,9,9,1,9,12,10,12,8,8,12,8,13,67,1,7,4,4,4,5,4,4,4,4.33333333333333,5.33333333333333,5.11111111111111,4,5,3,2,4,1,7,4,6,2,2,6,2,7,3.71428571428571,4.14285714285714,6.66666666666667,5.66666666666667,6.66666666666667,6.33333333333333,7,7,4,6,4.66666666666667,6,7,4.33333333333333,3,6,3,6,6,4,4,6,5,7,7,4,5,4,0,0,0
3,2,1,4,4,6,1,1,1,4,6,7,7,7,7,7,7,6,6.16666666666667,6,6,6,7,5,5,5,2,5,5,5,10,10,10,10,10,11,12,12,12,12,13,13,13,13,13,13,13,11,3,10,9,10,10,11,11,9,12,10,10,1,10,53,1,3,4,1,0,1,2,2,2,2,3,3,4,1,1,1,4,6,3,3,3,3,3,1,1,4,3,3,3,4,1,2,2,2,2,2,2,4,1,3,5,6,5,7,5,7,4,7,5,5,5,4,3,4,12,5,5,5,5,5,5,5,7,7,7,7,7,1,3,4,5,2,6,6,6,4,3,3,3,3,7,7,7,7,7,7,7,6,4,3,5,1,2,7,5,6,6,6,5,4,4,6,7,4,7,7,7,7,1,"","",53,1,3,4,3.66666666666667,6,7,5.66666666666667,5,5,2.63636363636364,2.72727272727273,1,1,1,1,1,0,5,7,6,5,3.6,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,4,NA,6.05555555555556,NA,5,3,6,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,3.85714285714286,NA,5.66666666666667,7,NA,5,5,5,5.33333333333333,7,7,NA,NA,NA,5,5,6,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,0,0,NA
5,5,5,4,4,5,1,4,6,1,6,6,6,6,6,5,5,5,5.83333333333333,6,5,6,7,6,6,6,2,6,6,6,12,12,10,10,10,10,11,11,10,10,11,11,11,12,11,10,11,11,3,10,8,12,11,10,11,11,10,11,11,9,13,58,1,8,6,0,1,1,NA,5,5,5,4,4,4,2,4,4,6,6,5,5,5,4,4,4,2,3,5,6,6,4,1,2,2,1,2,2,4,6,1,5,2,3,6,6,6,5,6,6,6,6,6,5,5,5,12,2,5,6,5,5,5,6,6,6,6,6,5,3,4,1,5,2,2,5,4,2,6,6,5,4,4,5,2,4,6,4,6,6,5,3,7,1,2,4,6,6,6,6,6,6,6,6,4,5,5,6,5,6,3,"cookie instellingen","ghostery",58,1,8,6,5,5.66666666666667,4.42857142857143,6,4.85714285714286,6,4.45454545454545,4.45454545454545,1,1,1,1,1,1,6,5.8,3.66666666666667,4,4.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,NA,NA,NA,5.33333333333333,NA,5.61111111111111,NA,5,5,4,5,5,3,7,NA,NA,NA,NA,NA,NA,NA,4.85714285714286,NA,6,6,NA,4.33333333333333,5,5.33333333333333,5,6,5.33333333333333,NA,NA,NA,5,5,5,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,0,0,NA
5,5,4,2,1,4,3,2,2,5,6,7,7,7,7,7,6,6,6.33333333333333,6,6,7,7,3,3,5,2,4,3,7,11,10,11,12,12,12,10,10,10,11,11,10,11,11,9,9,11,11,3,8,9,11,9,11,8,11,10,8,9,8,9,46,1,8,7,1,1,1,2,5,5,4,2,2,4,2,2,1,2,6,5,5,4,3,3,5,6,3,3,6,6,4,1,2,2,1,2,2,6,1,4,5,2,3,7,7,7,3,3,6,2,2,3,5,3,5,12,7,7,7,6,6,6,6,4,3,3,5,3,2,3,4,5,1,5,5,5,2,2,4,5,5,2,4,3,2,2,2,3,7,1,5,3,2,4,6,7,7,7,6,7,6,7,6,5,7,7,6,5,7,3,"Het cookies verhaal, het feit dat en hoe bedrijven persoonlijke informatie verzamelen en delen.","Ghostery kende ik al wel, maar had ik nog niet geïnstalleerd. Ik wist niet dat het dan meteen al zou werken. Ik dacht dat je nog flink wat moest configureren.",46,1,8,7,4.33333333333333,4,2.57142857142857,7,6.42857142857143,2.33333333333333,3.18181818181818,4.45454545454545,1,1,1,1,1,1,6,3.6,5,3,3.2,6.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,NA,NA,NA,4.66666666666667,NA,6.11111111111111,NA,2,5,4,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,3,NA,7,7,NA,7,6,6,7,5,5.33333333333333,NA,NA,NA,7,7,7,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,0,0,NA
5,6,5,4,3,5,4,1,1,1,4,6,6,6,5,3,3,6,6.33333333333333,7,6,7,6,6,5,6,2,5,6,6,11,8,10,11,11,9,10,11,10,10,12,12,12,13,13,10,9,11,3,9,10,11,9,12,9,11,8,9,8,9,12,24,1,7,5,1,1,0,2,4,5,4,3,4,5,1,1,1,1,3,5,5,5,4,3,5,4,3,5,6,5,4,1,2,2,1,2,2,6,3,5,2,1,4,6,7,5,7,7,7,6,6,7,5,3,4,12,6,6,7,5,5,5,6,3,6,5,5,6,1,4,3,5,2,5,4,5,3,3,5,2,6,5,5,1,2,6,3,6,5,4,1,7,3,6,2,5,5,5,4,4,5,5,5,6,6,7,7,6,7,3,"Cookies niet accepteren","Add-on blocker",24,1,7,5,4,7,4,6,5.71428571428571,6.33333333333333,2.90909090909091,4.54545454545455,1,1,1,1,1,1,6,5,4.66666666666667,2,3,4.75,5,5,4,2,3,5,3,1,1,1,1,7,7,7,7,7,5,6,6.16666666666667,7,6,7,5,5,5,6,6,5,5,4,11,10,10,12,10,11,11,11,11,11,13,12,12,13,13,11,9,9,2,8,9,11,10,11,8,8,8,8,8,9,11,24,1,7,5,2,4,5,4,4,3.66666666666667,4.33333333333333,6.44444444444444,6.38888888888889,3,5,2,3,2,3,6,2,2,2,2,2,3,5,3.42857142857143,2.57142857142857,6,6,7,6.33333333333333,5,5.33333333333333,5.33333333333333,5,5.33333333333333,6,6,6,6,6,4,5,6,5,5,7,5,6,6,6,6,6,0,0,0
4,4,4,4,5,4,1,1,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,6,6,6,11,10,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,3,1,1,1,1,13,13,13,13,9,10,13,13,59,2,4,5,1,1,0,2,4,4,4,3,4,1,1,1,3,1,5,5,5,5,4,4,5,3,3,3,3,5,4,1,2,2,2,2,1,4,5,3,1,2,6,7,7,7,7,7,7,7,7,7,5,5,5,12,7,7,7,7,7,7,7,7,7,7,7,7,2,4,3,1,5,6,6,6,1,1,1,6,7,6,5,6,5,3,6,7,5,2,3,1,4,6,7,6,6,6,5,4,4,5,5,4,3,7,6,6,5,3,"Over cookies","Dat bedrijven informatie van je delen.",59,2,4,5,5,7,5.42857142857143,7,7,7,2.81818181818182,4.09090909090909,1,1,1,0,1,0,4,7,6,1,2,5.125,4,4,4,1,4,4,1,4,6,3,5,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,11,9,11,10,10,12,10,10,10,10,13,13,13,13,13,11,12,12,2,1,1,1,1,13,13,12,13,12,12,12,13,59,2,4,5,4,5,5,3,5,4.66666666666667,4.33333333333333,7,7,7,7,7,3,4,7,7,7,6,7,6,6,6,7,6,6.42857142857143,7,7,7,7,7,7,7,7,7,5.66666666666667,5,5,7,7,7,7,7,7,7,5,5,7,5,5,5,5,1,1,1
3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,47,1,7,2,0,0,1,NA,1,1,3,3,3,3,1,3,1,1,6,5,5,5,5,5,1,5,1,1,5,5,3,1,2,1,2,1,1,2,4,1,3,6,5,4,4,4,4,4,4,4,4,4,5,5,4,12,6,2,4,6,4,4,5,5,5,4,5,5,2,5,4,1,3,6,6,5,3,3,3,4,5,5,5,5,5,4,4,5,2,3,1,4,7,6,5,6,6,5,3,3,5,4,6,6,4,7,6,5,6,2,"Dat over d eprivicy","",47,1,5,2,4.66666666666667,4,4.71428571428571,4,4.42857142857143,4,2.36363636363636,3.90909090909091,1,0,0,0,1,0,2,4.8,5.66666666666667,3,3.2,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,4,NA,4,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,6,4.33333333333333,4,4,4,NA,NA,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA
5,6,5,5,4,5,1,6,4,2,4,7,7,6,6,7,5,7,7,7,7,7,7,4,4,4,2,4,4,5,10,1,1,8,8,10,8,7,7,10,13,12,12,12,12,13,13,13,3,1,1,13,8,1,1,12,11,1,8,8,8,51,1,7,1,1,0,0,2,5,6,5,5,4,5,1,6,4,2,4,6,6,5,5,4,5,6,6,5,5,5,4,1,2,2,2,1,1,3,2,5,6,1,4,7,7,7,7,7,7,4,4,4,3,1,1,12,6,3,5,4,4,3,4,6,6,7,7,7,1,2,4,3,5,5,7,6,1,1,1,1,7,6,6,6,1,7,2,1,6,2,4,1,3,5,7,6,6,3,4,4,2,2,5,6,5,6,6,6,5,3,"de vormen van misbruik van de gegevens","wist het wel, maar niet zo duidelijk als nu",51,1,7,1,1.66666666666667,7,4.14285714285714,7,4.14285714285714,4,4.27272727272727,5.27272727272727,1,1,0,0,1,0,3,6.6,6,1,1,4,5,6,5,4,4,5,3,5,2,6,3,7,7,7,7,7,6,7,7,7,7,7,7,6,6,5,6,6,5,6,9,9,9,8,7,9,9,8,9,8,13,12,13,13,13,11,12,12,2,8,1,1,8,1,12,12,12,8,8,8,12,51,1,7,4,1,1,3,3,3,2,3,7,7,1,6,5,1,2,2,2,6,6,6,2,2,2,6,2.71428571428571,4.28571428571429,7,6.66666666666667,7,4.66666666666667,4,3.66666666666667,3.66666666666667,3,3,3,4,3.33333333333333,3,3,5,3,2,2,5,3,2,4,4,3,4,3,0,0,0
4,6,4,4,4,3,1,6,1,1,1,7,7,6,7,4,6,5,5.33333333333333,6,5,4,7,4,4,4,2,4,4,6,12,11,12,11,11,12,11,11,11,11,9,9,9,9,9,8,1,9,1,9,10,11,1,11,1,1,1,1,1,1,1,40,2,8,5,1,1,0,2,1,1,1,3,3,1,1,6,1,1,1,1,6,1,4,4,6,6,6,6,6,6,1,1,2,2,1,2,2,6,2,4,1,5,3,7,7,7,5,6,6,6,6,6,6,5,5,12,4,6,7,6,6,7,6,6,5,6,6,5,1,2,3,4,5,2,2,2,2,2,5,1,5,1,1,1,1,1,1,1,3,5,7,2,1,4,6,6,4,3,4,5,4,5,5,7,6,7,7,7,7,1,"","",40,2,8,5,5.33333333333333,5.66666666666667,1,7,6,6,1.81818181818182,4.72727272727273,1,1,1,1,1,1,6,5.6,2,3,2.6,4.5,4,5,4,4,4,1,1,1,1,1,1,7,7,7,7,2,6,5,5.33333333333333,6,6,3,7,5,5,5,6,5,4,6,11,11,12,12,12,12,11,12,12,12,11,11,11,11,11,8,8,8,1,8,8,8,1,10,1,1,1,1,1,1,1,40,2,8,6,5,6,5,5,6,5.66666666666667,5.33333333333333,5.44444444444444,5.44444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6.66666666666667,7,5.66666666666667,6,6.33333333333333,6.33333333333333,6,6,7,6,7,6,6,7,6,6,6,6,7,7,7,6,7,7,7,1,1,1
